lat,lon,fire_val,date
42.0291666628941,-7.712890416953982,8.0,2017-10-01
42.0291666628941,-7.701671667256595,8.0,2017-10-01
41.845833329577346,-8.14939774985933,8.0,2017-10-02
41.845833329577346,-8.138211205247304,9.0,2017-10-02
41.845833329577346,-8.127024660635282,9.0,2017-10-02
41.845833329577346,-8.115838116023257,9.0,2017-10-02
41.837499996244766,-8.14833650263148,8.0,2017-10-02
41.837499996244766,-8.137151414776117,8.0,2017-10-02
41.837499996244766,-8.125966326920754,9.0,2017-10-02
41.837499996244766,-8.114781239065392,9.0,2017-10-02
41.42083332961576,-7.717998686433562,8.0,2017-10-02
41.42083332961576,-7.706885657367422,8.0,2017-10-02
41.42083332961576,-7.6957726283012855,8.0,2017-10-02
41.41249999628318,-7.705896916284127,8.0,2017-10-02
41.41249999628318,-7.694785312944138,8.0,2017-10-02
41.329166662957384,-7.840298314948596,8.0,2017-10-02
41.329166662957384,-7.829200935875772,8.0,2017-10-02
41.3208333296248,-7.82819973706653,8.0,2017-10-02
40.88749999633064,-7.765690630004845,9.0,2017-10-02
40.88749999633064,-7.754667648273115,8.0,2017-10-02
40.87916666299806,-7.764712885493589,9.0,2017-10-02
40.87916666299806,-7.753691291617799,8.0,2017-10-02
40.87916666299806,-7.742669697742008,8.0,2017-10-02
43.5291666627585,-5.729696433870544,7.0,2017-10-03
43.5291666627585,-5.718202559379329,7.0,2017-10-03
41.02083332965193,-3.054016291885992,8.0,2017-10-03
41.01249999631934,-3.053629962102411,8.0,2017-10-03
48.60416666229971,-3.9886137270016673,7.0,2017-10-04
48.60416666229971,-3.976011471940051,7.0,2017-10-04
42.31249999620182,-7.319290448434414,9.0,2017-10-04
42.31249999620182,-7.308021333040366,9.0,2017-10-04
42.054166662891845,-8.26586071803539,9.0,2017-10-04
42.020833329561526,-8.239091656051727,9.0,2017-10-04
42.020833329561526,-8.227874376737836,8.0,2017-10-04
42.020833329561526,-8.216657097423946,8.0,2017-10-04
42.01249999622894,-8.249227926231274,8.0,2017-10-04
41.687499996258325,-7.225433893269094,8.0,2017-10-04
41.687499996258325,-7.214274922005357,8.0,2017-10-04
41.687499996258325,-7.20311595074162,8.0,2017-10-04
41.01249999631934,-8.04545905024089,8.0,2017-10-04
41.00416666298676,-8.066526553255544,9.0,2017-10-04
41.00416666298676,-8.05548408021892,9.0,2017-10-04
41.00416666298676,-8.044441607182293,8.0,2017-10-04
40.99583332965418,-8.065506745547378,9.0,2017-10-04
40.99583332965418,-8.05446566855142,9.0,2017-10-04
40.99583332965418,-8.043424591555462,9.0,2017-10-04
40.98749999632161,-8.064487366238758,9.0,2017-10-04
40.25416666305456,-6.41499800375182,9.0,2017-10-04
42.020833329561526,-8.261526214679504,8.0,2017-10-05
42.020833329561526,-8.250308935365615,8.0,2017-10-05
42.020833329561526,-8.239091656051727,8.0,2017-10-05
42.020833329561526,-8.227874376737836,8.0,2017-10-05
42.01249999622894,-8.271659545337274,8.0,2017-10-05
42.01249999622894,-8.260443735784275,8.0,2017-10-05
42.01249999622894,-8.249227926231274,8.0,2017-10-05
42.01249999622894,-8.238012116678275,8.0,2017-10-05
42.01249999622894,-8.226796307125275,8.0,2017-10-05
42.00416666289636,-8.270576055628688,8.0,2017-10-05
42.00416666289636,-8.259361715214277,8.0,2017-10-05
42.00416666289636,-8.248147374799863,8.0,2017-10-05
42.00416666289636,-8.236933034385451,8.0,2017-10-05
42.00416666289636,-8.225718693971041,8.0,2017-10-05
41.70416666292348,-7.216144628159074,8.0,2017-10-05
41.695833329590904,-7.2375304116011,8.0,2017-10-05
41.695833329590904,-7.226369994620992,8.0,2017-10-05
41.695833329590904,-7.215209577640881,8.0,2017-10-05
41.687499996258325,-7.236592864532828,8.0,2017-10-05
41.58749999626736,-7.994148369411142,8.0,2017-10-05
41.58749999626736,-7.98300669920987,8.0,2017-10-05
41.58749999626736,-7.971865029008601,8.0,2017-10-05
41.57916666293479,-8.00425697812088,8.0,2017-10-05
41.57916666293479,-7.993116745722659,8.0,2017-10-05
41.57916666293479,-7.981976513324439,8.0,2017-10-05
41.57916666293479,-7.970836280926219,8.0,2017-10-05
41.5708333296022,-8.003224352500908,8.0,2017-10-05
41.5708333296022,-7.992085557299096,8.0,2017-10-05
41.5708333296022,-7.980946762097285,8.0,2017-10-05
41.5708333296022,-7.969807966895475,8.0,2017-10-05
41.120833329642885,-7.085261817877999,8.0,2017-10-05
41.120833329642885,-7.074199738537051,8.0,2017-10-05
41.120833329642885,-7.0631376591961015,8.0,2017-10-05
41.112499996310305,-7.117544401347809,9.0,2017-10-05
41.112499996310305,-7.10648372628744,9.0,2017-10-05
41.112499996310305,-7.09542305122707,9.0,2017-10-05
41.112499996310305,-7.0843623761667,8.0,2017-10-05
41.112499996310305,-7.073301701106331,8.0,2017-10-05
41.10416666297772,-7.116641126721533,9.0,2017-10-05
41.10416666297772,-7.105581855351337,9.0,2017-10-05
40.98749999632161,-7.909931824654442,8.0,2017-10-05
40.97916666298902,-7.908932401692614,8.0,2017-10-05
40.97916666298902,-7.897894115018935,8.0,2017-10-05
40.97916666298902,-7.886855828345253,8.0,2017-10-05
40.97916666298902,-7.875817541671569,8.0,2017-10-05
40.97916666298902,-7.853740968324209,8.0,2017-10-05
40.97916666298902,-7.842702681650526,8.0,2017-10-05
40.97083332965644,-7.896896506125522,8.0,2017-10-05
40.97083332965644,-7.885859613734011,8.0,2017-10-05
40.97083332965644,-7.8748227213424995,8.0,2017-10-05
40.97083332965644,-7.8637858289509905,9.0,2017-10-05
