,lat,lon,type,subtype
138,42.8766479,-8.537098,tourism,hostel
139,42.8796607,-8.542504,tourism,hotel
140,42.8807739,-8.5401886,tourism,hotel
141,42.7077709,-7.0461485,tourism,hostel
142,42.7077751,-7.0445999,tourism,viewpoint
143,42.7076341,-7.0444438,tourism,guest_house
144,42.7079033,-7.0437603,tourism,guest_house
145,42.7074156,-7.0432468,tourism,viewpoint
146,42.7077354,-7.0432706,tourism,hotel
147,42.7296756,-7.3311826,tourism,hotel
148,42.7736224,-7.3703544,tourism,hostel
149,42.7737036,-7.3554821,tourism,hostel
150,42.7552248,-7.2353516,tourism,hostel
151,42.7765672,-7.4105895,tourism,hotel
152,43.3500482,-8.2521385,tourism,information
153,43.3551277,-8.2528809,tourism,information
154,43.3535487,-8.2528581,tourism,information
155,43.351412,-8.2529478,tourism,information
156,43.3505737,-8.2512499,tourism,information
157,43.3514119,-8.2528445,tourism,information
158,42.767914,-7.4515959,tourism,hostel
159,42.7685963,-7.4601093,tourism,guest_house
160,42.7686624,-7.4451547,tourism,picnic_site
161,42.7754295,-7.4565087,tourism,guest_house
162,42.7802662,-7.5184105,tourism,information
163,42.7838481,-7.5296643,tourism,information
164,42.7842345,-7.5517349,tourism,information
165,42.7826029,-7.5210505,tourism,information
166,42.7788066,-7.4206593,tourism,hostel
167,42.802308,-7.6137726,tourism,information
168,42.78448,-7.5477979,tourism,information
169,42.7879889,-7.5658115,tourism,information
170,42.7956587,-7.6034409,tourism,information
171,42.7939792,-7.5868119,tourism,information
172,42.7995492,-7.609795,tourism,information
173,42.8100337,-7.6141766,tourism,hotel
174,42.8086718,-7.6143867,tourism,hostel
175,42.8073711,-7.6150899,tourism,hotel
176,42.8084681,-7.6150476,tourism,hostel
177,42.8080813,-7.6167133,tourism,guest_house
178,42.8073834,-7.6082903,tourism,camp_site
179,42.8100351,-7.6152154,tourism,guest_house
180,42.8082687,-7.6146519,tourism,hostel
181,42.817597,-7.6752652,tourism,information
182,42.8119922,-7.6536861,tourism,information
183,42.8097875,-7.6424779,tourism,information
184,42.8207434,-7.6786513,tourism,information
185,42.8052863,-7.621719,tourism,information
186,42.8283847,-7.7007177,tourism,information
187,42.8051649,-7.6269182,tourism,information
188,42.8136883,-7.6651369,tourism,information
189,42.8219304,-7.6846304,tourism,information
190,42.8073978,-7.6160227,tourism,information
191,42.8050233,-7.6163908,tourism,hostel
192,42.7973327,-7.6431876,tourism,information
193,42.7813756,-7.6393976,tourism,viewpoint
194,42.7894882,-7.6460708,tourism,information
195,42.7708374,-7.6618131,tourism,information
196,42.8251556,-7.6961905,tourism,hostel
197,42.844254,-7.7475793,tourism,hostel
198,42.8264629,-7.6965382,tourism,hostel
199,42.8915903,-8.4507183,tourism,hotel
200,42.8615707,-7.7824848,tourism,hostel
201,42.8317814,-7.7089303,tourism,hostel
202,42.8587734,-7.779881,tourism,attraction
203,42.8487062,-7.7591544,tourism,information
204,42.8508514,-7.764164,tourism,information
205,42.852486,-7.7701182,tourism,information
206,42.8543438,-7.7751008,tourism,information
207,42.8372403,-7.7270717,tourism,information
208,42.8455135,-7.7546795,tourism,information
209,42.8326082,-7.7107531,tourism,information
210,42.8575036,-7.7788879,tourism,information
211,42.8412472,-7.734753,tourism,hostel
212,42.8310918,-7.7062913,tourism,information
213,42.8440117,-7.7491035,tourism,hostel
214,42.8656705,-7.787393,tourism,hostel
215,42.8733002,-7.8171267,tourism,information
216,42.8731047,-7.8153247,tourism,guest_house
217,42.8682191,-7.7976157,tourism,information
218,42.8723208,-7.8118164,tourism,information
219,42.8734135,-7.8092318,tourism,hostel
220,42.8654512,-7.7870868,tourism,hostel
221,42.8713728,-7.802032,tourism,information
222,42.8644737,-7.7865141,tourism,information
223,42.8737174,-7.8058164,tourism,information
224,42.8741606,-7.8278624,tourism,information
225,42.8727565,-7.8675885,tourism,information
226,43.3466498,-8.3480212,tourism,hotel
227,42.8800377,-7.9208596,tourism,information
228,42.8780132,-7.914531,tourism,hostel
229,42.8744167,-7.9034674,tourism,hostel
230,42.8788674,-7.9289383,tourism,hostel
231,42.8759337,-7.8334331,tourism,information
232,42.8823473,-7.9540025,tourism,information
233,42.8743002,-7.8447442,tourism,information
234,42.8736483,-7.8999043,tourism,information
235,42.8787541,-7.9145618,tourism,information
236,42.8703949,-7.8917231,tourism,information
237,42.8801002,-7.9320182,tourism,information
238,42.874898,-7.8510774,tourism,information
239,42.8731002,-7.8223495,tourism,information
240,42.8767948,-7.9099937,tourism,information
241,42.8807872,-7.9374856,tourism,information
242,42.8709733,-7.8952581,tourism,information
243,42.8452683,-7.9662944,tourism,attraction
244,42.8296488,-7.9224659,tourism,motel
245,42.8837284,-7.9567229,tourism,information
246,42.8940465,-7.9749581,tourism,information
247,42.8848443,-7.9591307,tourism,information
248,42.8900499,-7.9689173,tourism,information
249,42.9018579,-7.9887375,tourism,information
250,42.8964672,-7.9794239,tourism,information
251,42.9042071,-7.9946728,tourism,information
252,42.9113039,-8.006868,tourism,information
253,42.8846114,-7.9585003,tourism,motel
254,42.8921812,-7.9714023,tourism,information
255,42.9091101,-8.0024427,tourism,information
256,42.908225,-7.9988292,tourism,information
