,lat,lon,type,subtype
20558,16.7987615,96.1450792,shop,dry_cleaning
20559,22.6233329,97.2959029,shop,furniture
20560,21.9797299,96.1077757,tourism,hotel
20561,16.8346266,96.1322942,shop,medical_supply
20562,16.783795,96.1827585,shop,car_repair
20563,14.0734796,98.1997918,shop,mobile_phone
20564,14.0734762,98.1996237,shop,clothes
20565,16.7720141,96.1633419,shop,electronics
20566,16.8675529,96.1191971,shop,alcohol
20567,21.9751035,96.0833612,shop,mobile_phone
20568,13.8252776,98.1644743,tourism,attraction
20569,14.130278,98.3263045,tourism,attraction
20570,13.9529629,98.1201429,tourism,attraction
20571,13.8819076,98.1530985,tourism,attraction
20572,13.8126528,98.159684,tourism,attraction
20573,13.5854524,98.1515218,tourism,attraction
20574,13.7702879,98.1572958,tourism,attraction
20575,13.7506752,98.1499842,tourism,attraction
20576,16.8319678,97.6156747,tourism,attraction
20577,16.7827307,96.1282006,tourism,artwork
20578,13.7219836,98.1141917,tourism,attraction
20579,13.8917157,98.1484995,tourism,attraction
20580,13.6878346,98.173349,tourism,attraction
20581,13.789804,98.2004248,place,island
20582,13.8575384,98.1599472,tourism,attraction
20583,13.8355654,98.1575718,tourism,attraction
20584,13.8433259,98.1613544,tourism,attraction
20585,13.8996571,98.1507946,tourism,attraction
20586,14.0166236,98.1552268,tourism,attraction
20587,14.0678223,98.2208977,tourism,attraction
20588,16.7995654,96.1226868,tourism,apartment
20589,9.9090636,98.5691491,place,hamlet
20590,10.0527853,98.6390083,place,village
20591,16.8140572,96.1839248,shop,electronics
20592,16.8661666,96.1124618,shop,tea
20593,16.8673551,96.1191083,tourism,guest_house
20594,16.8459312,96.1255188,tourism,apartment
20595,16.8481226,96.1870865,shop,mobile_phone
20596,16.5001856,97.6200376,takeaway,yes
20597,21.2205411,96.5446329,place,village
20598,21.1954956,96.5606618,place,village
20599,21.3286236,95.0174097,tourism,hostel
20600,21.2169206,96.4782429,place,village
20601,20.4507682,96.9108314,tourism,guest_house
20602,16.8552111,96.1581762,shop,travel_agency
20603,21.1331772,92.1580174,building,residential
20604,21.133598,92.1578808,building,residential
20605,16.8211792,96.1614406,shop,dry_cleaning
20606,20.8765428,95.8595257,shop,travel_agency
20607,17.7018355,96.4887519,tourism,attraction
20608,10.5611628,98.8058593,place,hamlet
20609,20.5991041,96.9923955,place,hamlet
20610,20.6024283,96.9931251,place,hamlet
20611,21.8723934,95.9911531,tourism,attraction
20612,16.8144282,96.124513,shop,convenience
20613,16.8492599,96.1966342,tourism,attraction
20614,21.2561016,96.54989,place,village
20615,21.1699906,96.5693307,place,village
20616,21.2033878,96.5401482,place,village
20617,16.8553332,96.0763908,shop,convenience
20618,16.8493689,96.0741886,shop,dry_cleaning
20619,16.8434627,96.0755714,shop,dry_cleaning
20620,16.8553459,96.0763948,shop,hardware
20621,16.8702892,96.0705391,shop,dry_cleaning
20622,16.9430811,96.1854253,shop,dry_cleaning
20623,20.7814263,97.0473057,tourism,viewpoint
20624,16.8881547,96.1248016,shop,trade
20625,16.8379661,96.1995553,tourism,apartment
20626,16.8799402,96.0749505,tourism,apartment
20627,20.775513,97.025848,tourism,viewpoint
20628,20.7856642,97.0250756,tourism,viewpoint
20629,16.8229806,96.123071,tourism,apartment
20630,16.8079663,96.1295973,shop,travel_agency
20631,21.940313,96.07562,shop,car_parts
20632,20.7548297,97.0409904,memorial,statue
20633,23.2151642,94.0400337,tourism,artwork
20634,23.1957216,94.0158718,shop,car_parts
20635,16.4607664,97.6250311,shop,electronics
20636,16.861829,96.2456722,shop,bookmaker
20637,16.8577023,96.2301391,shop,bookmaker
20638,16.8393152,96.2773603,shop,bookmaker
20639,16.8356963,96.1145094,tourism,apartment
20640,17.1880546,96.3909347,shop,hardware
20641,16.474808,97.6330043,shop,tyres
20642,16.4573996,97.6240705,shop,car_parts
20643,16.4859467,97.6230521,service,dynamo
20644,10.4753301,98.8113545,place,hamlet
20645,25.6405059,97.4919683,tourism,picnic_site
20646,16.8661342,96.1530058,shop,gift
20647,16.8917544,96.1167381,shop,hardware
20648,16.908893,96.0723668,shop,hardware
