,lat,lon,type,subtype
153,43.3892173,-5.1848708,place,town
154,43.3582216,-5.5056766,place,village
155,43.2488161,-5.7722468,place,town
156,43.2510541,-5.7803159,railway,switch
157,43.1615692,-5.8281354,place,town
158,43.1054181,-5.8185558,place,village
159,43.4106542,-5.5582804,place,village
160,43.3085595,-5.6919228,place,suburb
161,43.2931634,-5.6807888,place,suburb
162,43.3592505,-5.3062529,place,village
163,43.2745191,-5.5904148,place,suburb
164,43.2749805,-5.6056736,place,village
165,43.2596743,-5.5732961,place,suburb
166,43.2465052,-5.5630565,place,town
167,43.2050857,-5.7913229,place,village
168,43.2987951,-5.8245447,place,suburb
169,43.3465388,-5.9691453,place,suburb
170,43.3623925,-5.2570968,railway,halt
171,43.3575286,-5.2283142,railway,level_crossing
172,43.3683052,-5.1853729,railway,halt
173,43.3978206,-5.1566001,railway,crossing
174,43.4013993,-5.1430788,railway,halt
175,43.4121636,-5.1180333,railway,halt
176,43.4312047,-5.073311,railway,halt
177,43.453911,-5.0567267,railway,level_crossing
178,43.4593227,-5.0562438,railway,switch
179,43.4594218,-5.0539574,railway,crossing
180,43.4581309,-5.0405855,railway,level_crossing
181,43.5401906,-5.6766354,tourism,hotel
182,43.3689481,-5.8521042,railway,switch
183,43.3894263,-6.0686955,place,town
184,43.4342813,-6.0615193,place,village
185,43.4896744,-6.1138664,place,town
186,43.3448397,-5.0834717,place,hamlet
187,43.3465507,-5.065895,place,hamlet
188,43.324392,-5.0784174,place,hamlet
189,43.0179491,-5.7726416,place,hamlet
190,43.0707461,-5.7692827,place,hamlet
191,43.0277917,-5.7726806,railway,service_station
192,43.2702372,-5.1288322,place,village
193,43.307985,-5.0518003,place,hamlet
194,43.342511,-5.0152997,place,hamlet
195,43.3350208,-4.9681463,place,village
196,43.3344536,-4.9518311,place,hamlet
197,43.316009,-4.846857,place,village
198,43.3033792,-4.8147149,place,village
199,43.4375131,-4.8433499,place,hamlet
200,43.4241349,-4.8630529,place,village
201,43.42408,-4.8348525,place,village
202,43.4333525,-4.8294839,place,hamlet
203,43.3345449,-4.7070278,place,village
204,43.323424,-4.583991,place,village
205,43.3749259,-4.5409351,place,village
206,43.3748869,-4.5142048,railway,station
207,43.3830117,-4.5569884,railway,halt
208,43.3668602,-5.2971949,railway,level_crossing
209,43.4174294,-5.4100147,place,village
210,43.2450993,-5.0730662,place,hamlet
211,43.1987854,-5.1245959,place,hamlet
212,43.1974054,-5.0936336,place,hamlet
213,43.1841207,-5.0869055,place,hamlet
214,43.1885263,-5.0908594,place,hamlet
215,43.1937635,-5.0916383,place,hamlet
216,43.2372164,-5.0922154,place,hamlet
217,43.2578399,-5.2013171,place,hamlet
218,43.1911097,-5.165367,place,village
219,43.3252696,-5.1390871,place,hamlet
220,43.3163749,-5.1288185,place,hamlet
221,43.5530782,-5.996357,place,hamlet
222,43.5595112,-5.9774317,place,town
223,43.575986,-5.9575436,place,suburb
224,43.3786788,-5.186105,railway,halt
225,43.3581458,-5.2268141,railway,halt
226,43.3630682,-5.3025612,railway,halt
227,43.3440012,-5.3606746,railway,halt
228,43.3969806,-5.1440973,place,hamlet
229,43.4127855,-5.1156965,place,hamlet
230,43.4117319,-5.1214887,railway,level_crossing
231,43.4406112,-5.0559063,railway,halt
232,43.4388116,-5.0557208,place,hamlet
233,43.4593911,-5.0546619,railway,station
234,43.4483554,-5.0190058,railway,halt
235,43.4509066,-5.0086318,railway,level_crossing
236,43.4398624,-4.9823047,railway,halt
237,43.4375947,-4.9396246,place,village
238,43.4405094,-4.9354577,railway,station
239,43.441946,-4.9036235,railway,halt
240,43.4411967,-4.9019871,place,village
241,43.42508,-4.8652434,railway,station
242,43.4241851,-4.8628519,railway,level_crossing
243,43.4213708,-4.8359274,railway,halt
244,43.4247743,-4.8113434,railway,halt
245,43.4241295,-4.7824231,railway,halt
246,43.4244695,-4.7753829,railway,crossing
247,43.4209241,-4.7591087,railway,station
248,43.4243207,-4.7831587,place,village
249,43.394716,-4.7300013,railway,halt
250,43.3981275,-4.6863254,place,hamlet
251,43.3966266,-4.6727699,railway,halt
252,43.3963278,-4.6365533,place,hamlet
253,43.3927643,-4.6301345,railway,halt
254,42.9800578,-5.7740377,place,hamlet
255,43.2591733,-4.8365302,place,hamlet
256,43.2617804,-4.831402,place,hamlet
257,43.2368221,-4.8262674,place,hamlet
258,43.2353074,-4.8197948,place,hamlet
259,43.2382236,-4.8233275,railway,station
260,43.2576952,-4.8303163,railway,station
261,43.5387036,-7.0217691,place,village
262,43.5276581,-7.0300508,place,village
263,43.4643275,-7.0498586,place,village
264,43.5334229,-6.1187733,place,hamlet
265,43.3037536,-5.7050916,place,suburb
266,43.3175866,-5.7053485,place,suburb
267,43.3804703,-4.5540418,place,hamlet
268,43.3618871,-4.5505966,place,hamlet
269,43.3640362,-4.5739845,place,hamlet
270,43.5488962,-6.1367714,place,hamlet
271,43.551329,-6.1522026,railway,crossing
272,43.5519811,-6.1524957,railway,switch
273,43.5570214,-6.1554776,railway,halt
274,43.5633258,-6.1458061,place,village
275,43.559227,-6.1849472,railway,halt
276,43.5523119,-6.1946743,place,hamlet
277,43.5743393,-6.2135436,place,hamlet
278,43.272554,-5.5666174,place,hamlet
279,43.1617063,-5.307499,place,hamlet
280,43.151273,-5.2907196,place,hamlet
281,43.1101082,-5.2273156,place,hamlet
282,43.2754285,-5.6046621,place,town
283,43.3940202,-5.7067183,place,village
284,43.3848504,-5.7011652,place,suburb
285,43.3775134,-5.7979835,place,suburb
286,43.3088155,-5.8764775,place,village
287,43.2808262,-5.8795864,place,village
288,43.2108523,-5.7827229,place,suburb
289,43.1683967,-5.7384424,place,town
290,43.2213584,-5.4557877,place,village
291,43.1824824,-5.3443749,place,village
292,43.3307543,-5.5662624,place,hamlet
293,43.3591423,-5.4458144,place,village
294,43.3544771,-5.4323226,place,hamlet
295,43.3685009,-5.2984188,place,hamlet
296,43.3774632,-5.2980044,place,village
297,43.3765241,-5.2866967,place,hamlet
298,43.373671,-5.2841442,place,hamlet
299,43.3702743,-5.2821936,place,hamlet
300,43.3630767,-5.2604478,place,hamlet
301,43.3828624,-5.2725619,tourism,hotel
302,43.377447,-5.2762647,tourism,hotel
303,43.4622279,-5.0602887,tourism,information
304,43.1990959,-5.5754904,place,hamlet
305,43.226236,-5.604457,place,hamlet
306,43.5104657,-5.8686626,place,suburb
307,43.3521804,-5.3720756,railway,switch
308,43.5445277,-6.228861,railway,halt
309,43.5596553,-6.2345691,railway,station
310,43.5620451,-6.2312339,place,hamlet
311,43.3665196,-5.2794804,railway,level_crossing
312,43.3754737,-5.8196448,place,suburb
313,43.3702787,-5.8174074,place,suburb
314,43.3723633,-5.8217212,place,suburb
315,43.3665067,-5.8226312,place,suburb
316,43.3913424,-5.6619617,shop,greengrocer
317,43.5664142,-6.2632292,railway,halt
318,43.5767179,-6.2360804,place,hamlet
319,43.5576453,-6.2896968,railway,station
320,43.5633016,-6.2825463,place,hamlet
321,43.5526474,-6.3051305,railway,halt
322,43.5509652,-6.3231258,railway,station
323,43.5439443,-6.5358435,place,town
324,43.5391112,-6.7233704,place,town
325,43.1400706,-5.6114709,place,hamlet
326,43.5396743,-5.7055988,place,suburb
327,43.5403016,-5.6975679,place,suburb
328,43.5415901,-5.6895087,place,suburb
329,43.5391595,-5.6829637,place,suburb
330,43.5365413,-5.6834658,place,suburb
331,43.5267042,-5.6948185,place,suburb
332,43.5258215,-5.6731712,place,suburb
333,43.5213734,-5.6762479,place,suburb
334,43.5326925,-5.6759051,place,suburb
335,43.5285421,-5.6624582,place,suburb
336,43.5197118,-5.6642258,place,suburb
337,43.5303784,-5.6552913,place,suburb
338,43.5283176,-5.6456681,place,suburb
339,43.533616,-5.6502557,place,suburb
340,43.5346418,-5.6442157,place,neighbourhood
341,43.5334468,-5.6334382,place,suburb
342,43.5371615,-5.6536927,place,quarter
343,43.5395763,-5.6525528,place,suburb
344,43.5418297,-5.6658889,place,suburb
345,43.5470241,-5.6630529,place,suburb
346,43.5361632,-5.6705219,place,suburb
347,43.5412686,-5.6748098,place,suburb
348,43.5228391,-5.6879104,place,suburb
349,43.5173824,-5.681167,place,suburb
350,43.5467736,-5.7026338,place,suburb
351,43.5481249,-6.351482,railway,halt
352,43.5497771,-6.3862301,place,hamlet
353,43.5306028,-5.7289024,railway,railway_crossing
354,43.5308286,-5.7289149,railway,level_crossing
355,43.5460812,-5.7460435,railway,switch
356,43.5385552,-5.8262203,railway,railway_crossing
357,43.5551079,-5.8582635,railway,railway_crossing
358,43.1580775,-6.1035151,place,village
359,43.250806,-6.0168338,place,village
360,43.2738512,-6.0008722,place,village
361,43.6135047,-5.7938812,place,town
362,43.6018234,-5.7756576,place,hamlet
363,43.636572,-5.8181564,place,hamlet
364,43.307309,-5.6961542,railway,switch
365,43.4112451,-5.5082525,place,hamlet
366,43.4120005,-5.5313712,place,hamlet
367,43.4111725,-5.5411988,place,hamlet
368,43.4060944,-5.5503342,place,hamlet
369,43.3990681,-5.5605473,place,hamlet
370,43.3964028,-5.5687541,place,hamlet
371,43.333974,-6.4165462,place,town
372,43.5380267,-5.9116909,place,village
373,43.554934,-5.8605106,railway,switch
374,43.555142,-5.8782487,railway,switch
375,43.1781714,-5.3600258,tourism,attraction
376,43.5361589,-7.0436775,place,town
377,43.5472027,-6.41522,railway,halt
378,43.5418722,-6.4460345,railway,stop
379,43.5467539,-6.5082278,railway,halt
380,43.5406418,-6.5935194,railway,halt
381,43.5355684,-6.6853496,railway,halt
382,43.536213,-6.7202747,railway,stop
383,43.5400496,-6.7425848,railway,level_crossing
384,43.5456737,-6.7529871,railway,halt
385,43.5507532,-6.789601,railway,halt
386,43.0931497,-6.2572508,place,village
387,43.0874518,-6.1424373,place,hamlet
388,43.5349264,-6.9093798,railway,stop
389,43.5271902,-6.9520093,railway,halt
390,43.5203904,-6.9770801,railway,halt
391,43.5087122,-7.0139172,railway,halt
392,43.4912975,-7.0358795,railway,halt
393,43.4730167,-7.0504431,railway,halt
394,43.4794576,-7.0570814,railway,station
395,43.5359749,-7.0557899,railway,station
396,43.3889817,-5.8305524,place,hamlet
397,43.409631,-5.8369983,place,hamlet
398,43.4022816,-5.8359484,place,hamlet
399,43.4050552,-5.8328927,place,hamlet
400,43.5361471,-5.6218563,place,neighbourhood
401,43.5373105,-5.6437347,tourism,artwork
402,43.4114885,-6.1587521,place,hamlet
403,43.510794,-6.4290941,place,hamlet
404,43.5013341,-6.4337995,place,hamlet
405,43.5587707,-6.0741475,place,hamlet
406,43.5541268,-6.0863275,place,hamlet
407,43.5375325,-6.5366775,railway,station
408,43.5388035,-6.5080908,place,hamlet
409,43.5391284,-6.5917553,place,hamlet
410,43.5465934,-6.6456725,railway,station
411,43.5512044,-6.7716685,railway,halt
412,43.4918726,-7.0381906,place,hamlet
413,43.5603303,-5.7053427,place,hamlet
414,43.5701496,-5.7019253,tourism,museum
415,43.4301422,-7.0635706,place,hamlet
416,43.4091611,-7.1426357,place,village
417,43.4430221,-7.0260289,place,hamlet
418,43.4086,-7.05894,place,hamlet
419,43.4170147,-7.0297946,place,hamlet
420,43.3886753,-7.0166177,place,hamlet
421,43.3870885,-7.0139874,place,hamlet
422,43.3746804,-7.0583342,place,hamlet
423,43.4035014,-7.0575377,place,hamlet
424,43.393475,-7.056513,place,hamlet
425,43.384225,-7.0584332,place,hamlet
426,43.3695309,-7.0646686,place,hamlet
427,43.367063,-7.0878894,place,hamlet
428,43.3605685,-7.1088221,place,village
429,43.3636294,-7.1035698,place,hamlet
430,43.4887385,-6.7324969,place,hamlet
431,43.4490131,-6.7459447,place,hamlet
432,43.5043122,-6.7427957,place,hamlet
433,43.5144105,-6.7519194,place,village
434,43.4358615,-6.7572538,place,hamlet
435,43.4675756,-6.90715,place,hamlet
436,43.4400001,-6.8594751,place,hamlet
437,43.4290269,-6.8172064,place,village
438,43.434289,-6.7976278,place,hamlet
439,43.4342066,-6.8098949,place,hamlet
440,43.5510681,-6.828681,place,village
441,43.5470835,-6.8275598,railway,halt
442,43.3179028,-4.7084368,place,hamlet
443,43.3273519,-4.9037084,place,village
444,43.263252,-4.775579,place,hamlet
445,43.2330826,-4.7492199,place,hamlet
446,43.5631897,-6.9280598,place,hamlet
447,43.5460141,-6.971919,place,hamlet
448,43.3151414,-7.034961,place,hamlet
449,43.3113558,-6.986268,place,village
450,43.2654419,-6.9617224,place,village
451,43.2587428,-7.020435,place,village
452,43.3935427,-6.8279332,place,hamlet
453,43.3732764,-6.8404333,place,hamlet
454,43.3333974,-6.8642416,place,village
455,43.360347,-6.8445101,place,hamlet
456,43.3150662,-6.8383727,place,hamlet
457,43.2775188,-6.8466132,place,hamlet
458,43.2698587,-6.8541173,place,hamlet
459,43.257,-6.8755,place,village
460,43.5267686,-6.693583,place,hamlet
461,43.5384323,-6.6582082,place,hamlet
462,43.5086139,-6.6931831,place,hamlet
463,43.5107972,-6.7127034,place,hamlet
464,43.4858499,-6.7085006,place,hamlet
465,43.4608674,-6.6984784,place,hamlet
466,43.4476896,-6.7046079,place,village
467,43.4291066,-6.7124232,place,hamlet
468,43.2176587,-6.8757234,place,village
469,43.2358378,-6.8521827,place,hamlet
470,43.2331048,-6.7672319,place,hamlet
471,43.1873382,-6.853049,place,hamlet
472,43.212184,-6.903225,place,hamlet
473,43.1994162,-6.9217651,place,hamlet
474,43.1910123,-6.9216587,place,hamlet
475,43.1630124,-6.9352063,place,hamlet
476,43.4922954,-6.9253182,place,hamlet
477,43.5273292,-6.9104371,place,hamlet
478,43.5321716,-6.8985474,place,hamlet
479,43.5575984,-6.8829462,place,hamlet
480,43.635018,-5.8562121,place,hamlet
481,43.6271455,-5.8693895,place,hamlet
482,43.6279799,-5.8519996,place,hamlet
483,43.6249901,-5.8529986,place,hamlet
484,43.3985628,-5.7929065,place,hamlet
485,43.5270996,-5.3917601,place,hamlet
486,43.5360166,-5.4249439,place,hamlet
487,43.5196121,-5.4407472,place,hamlet
488,43.5099614,-5.5419681,place,hamlet
489,43.5194549,-5.555155,place,hamlet
490,43.5373176,-5.5722075,place,hamlet
491,43.5473948,-5.5881247,place,hamlet
492,43.5323458,-5.5434555,place,hamlet
493,43.5115526,-5.5568977,place,hamlet
494,43.6125534,-5.8945805,place,hamlet
495,43.6105567,-5.8989421,place,hamlet
496,43.5900083,-5.9088128,place,hamlet
497,43.5864201,-5.9101661,place,hamlet
498,43.5899108,-5.9134726,place,hamlet
499,43.5219209,-5.6065041,place,neighbourhood
500,43.5095128,-5.7255099,railway,switch
501,43.5148044,-5.6425649,place,neighbourhood
502,43.2534044,-6.7324487,place,hamlet
503,43.2653433,-6.6960655,place,hamlet
504,43.2950088,-6.7290809,place,hamlet
505,43.3052049,-6.7371632,place,hamlet
506,43.2998881,-6.7426186,place,hamlet
507,43.2850203,-6.7572562,place,hamlet
508,43.3014956,-6.7105652,place,hamlet
509,43.2823777,-6.6350165,place,hamlet
510,43.271901,-6.6097123,place,village
511,43.2715639,-6.5985612,place,hamlet
512,43.2619318,-6.5908069,place,hamlet
513,43.233119,-6.5592576,place,hamlet
514,43.2421461,-6.5741659,place,hamlet
515,43.2542522,-6.5691205,tourism,picnic_site
516,43.2672965,-6.5582163,place,hamlet
517,43.2662718,-6.5466472,place,hamlet
518,43.2640082,-6.5364242,place,hamlet
519,43.267526,-6.5349297,place,hamlet
520,43.2779114,-6.5289762,place,hamlet
521,43.2768047,-6.5379971,place,hamlet
522,43.2714644,-6.5306789,place,hamlet
523,43.2894344,-6.5294822,place,hamlet
524,43.3043613,-6.4957057,place,hamlet
525,43.3091211,-6.5053663,place,hamlet
526,43.3105182,-6.4969972,place,hamlet
527,43.3171809,-6.4755379,place,hamlet
528,43.320717,-6.4692473,place,hamlet
529,43.3242552,-6.4729916,place,hamlet
530,43.3219481,-6.4624073,place,hamlet
531,43.3316463,-6.4560999,place,hamlet
532,43.3343081,-6.4391865,place,hamlet
533,43.3118449,-6.4152916,place,hamlet
534,43.344038,-6.3853216,place,hamlet
535,43.342203,-6.480167,place,hamlet
536,43.3052874,-5.0437592,tourism,viewpoint
537,43.3019949,-6.5993295,place,hamlet
538,43.313998,-6.5927175,place,hamlet
539,43.3132232,-6.5885974,place,hamlet
540,43.335111,-6.5578442,place,hamlet
541,43.3259835,-6.569208,place,hamlet
542,43.3233033,-6.5829727,place,hamlet
543,43.3434307,-6.5386554,place,hamlet
